教材K.id,教材知识点,所属章/节,候选平台node_id,候选平台名,置信度,其他候选
K050401,邻接矩阵,图的基本概念/5.4 图的矩阵表示,rel_01_02,关系矩阵,0.433,
K050402,关联矩阵,图的基本概念/5.4 图的矩阵表示,rel_01_02,关系矩阵,0.65,
K050403,可达矩阵,图的基本概念/5.4 图的矩阵表示,rel_01_02,关系矩阵,0.433,
K060101,欧拉通路与欧拉回路,欧拉图与哈密顿图/6.1 欧拉图,gt_02,路径与连通性,0.4,
K060102,欧拉图的判定与构造,欧拉图与哈密顿图/6.1 欧拉图,gt_04_01,欧拉图,0.727,
K060201,哈密顿通路与回路,欧拉图与哈密顿图/6.2 哈密顿图,gt_04_02,哈密顿图,0.395,
K060202,哈密顿图的判定条件,欧拉图与哈密顿图/6.2 哈密顿图,gt_04_02,哈密顿图,0.733,
K060301,带权图的最短路径,欧拉图与哈密顿图/6.3 最短路问题,gt_03_05,Aᵏ[i][j]=从i到j长度为k的路径数,0.231,
K060302,最短路算法的应用,欧拉图与哈密顿图/6.3 最短路问题,gt_03_05,Aᵏ[i][j]=从i到j长度为k的路径数,0.154,
K070101,树与森林,树/7.1 无向树及其性质,gt_04_03,树,0.698,"树(gt_03_03,0.695)"
K070201,生成树,树/7.2 生成树,gt_04_04,生成树,0.97,"树(gt_04_03,0.698); 树(gt_03_03,0.695)"
K070202,最小生成树,树/7.2 生成树,gt_04_04,生成树,0.73,"树(gt_04_03,0.698); 树(gt_03_03,0.695)"
K070301,根树,树/7.3 根树及其应用,gt_04_03,树,0.698,"树(gt_03_03,0.695)"
K070302,树的遍历与存储,树/7.3 根树及其应用,gt_04_03,树,0.716,"树(gt_03_03,0.695)"
K070303,最优二叉树与哈夫曼编码,树/7.3 根树及其应用,gt_04_03,树,0.698,"树(gt_03_03,0.695)"
K080101,平面图与平面嵌入,平面图/8.1 平面图的基本概念,st_03_03,幂等律与吸收律,0.167,
K080201,欧拉公式,平面图/8.2 欧拉公式,gt_03_04,欧拉定理,0.44,"欧拉图(gt_04_01,0.424)"
K080202,欧拉公式的应用,平面图/8.2 欧拉公式,gt_03_04,欧拉定理,0.269,
K080301,库拉托夫斯基定理,平面图/8.3 平面图的判断,gt_03_04,欧拉定理,0.36,
K080302,极大平面图,平面图/8.3 平面图的判断,rel_04_04,极大元/极小元、最大元/最小元,0.4,
K080401,对偶图,平面图/8.4 平面图的对偶图,rel_02_02,对称性,0.3,
K080402,对偶图的应用,平面图/8.4 平面图的对偶图,gt_01,图的基本概念,0.274,
K090101,支配集,支配集、覆盖集、独立集、匹配与着色/9.1 支配集、点独立集与点覆盖集,st_01_03,幂集P(A),0.317,
K090102,点独立集,支配集、覆盖集、独立集、匹配与着色/9.1 支配集、点独立集与点覆盖集,st_01_03,幂集P(A),0.25,
K090103,点覆盖集,支配集、覆盖集、独立集、匹配与着色/9.1 支配集、点独立集与点覆盖集,st_01_03,幂集P(A),0.25,
K090201,匹配,支配集、覆盖集、独立集、匹配与着色/9.2 边覆盖集与匹配,st_03_01,分配律,0.317,
K090202,边覆盖集,支配集、覆盖集、独立集、匹配与着色/9.2 边覆盖集与匹配,st_01_03,幂集P(A),0.25,
K090203,霍尔定理,支配集、覆盖集、独立集、匹配与着色/9.2 边覆盖集与匹配,gt_03_01,握手定理,0.444,"欧拉定理(gt_03_04,0.44); 重要定理(gt_03,0.404)"
K090301,二部图与匹配判定,支配集、覆盖集、独立集、匹配与着色/9.3 二部图中的匹配,gt_01_03,"二部图Kₘ,ₙ",0.375,
K090302,匈牙利算法,支配集、覆盖集、独立集、匹配与着色/9.3 二部图中的匹配,pl_03_08,归谬法,0.2,
K090401,点着色,支配集、覆盖集、独立集、匹配与着色/9.4 着色,gt_03_02,奇度顶点个数必为偶数,0.111,
K090402,边着色,支配集、覆盖集、独立集、匹配与着色/9.4 着色,gt_01_02,完全图Kₙ,0.025,
K090403,着色的应用,支配集、覆盖集、独立集、匹配与着色/9.4 着色,gt_01,图的基本概念,0.133,
K100101,加法法则,基本的组合计数公式/10.1 加法法则与乘法法则,pl_03_08,归谬法,0.317,
K100102,乘法法则,基本的组合计数公式/10.1 加法法则与乘法法则,pl_03_08,归谬法,0.317,
K100201,排列,基本的组合计数公式/10.2 排列与组合,pl_02_01,真值表,0.015,
K100202,组合,基本的组合计数公式/10.2 排列与组合,st_01_01,集合,0.414,
K100301,二项式定理,基本的组合计数公式/10.3 二项式定理与组合恒等式,pl_03_04,范式存在定理,0.432,"握手定理(gt_03_01,0.364); 欧拉定理(gt_03_04,0.36)"
K100302,组合恒等式,基本的组合计数公式/10.3 二项式定理与组合恒等式,pl_03_03,合取范式(CNF),0.37,
K100401,多项式定理,基本的组合计数公式/10.4 多项式定理,pl_03_04,范式存在定理,0.432,"握手定理(gt_03_01,0.364); 欧拉定理(gt_03_04,0.36)"
K110101,递推方程,递推方程与生成函数/11.1 递推方程的定义及实例,pl_03_05,假言推理,0.233,
K110201,常系数线性齐次递推方程,递推方程与生成函数/11.2 递推方程的公式解法,fl_02_06,证明奇数的平方也是奇数,0.182,
K110202,常系数线性非齐次递推方程,递推方程与生成函数/11.2 递推方程的公式解法,fl_02_06,证明奇数的平方也是奇数,0.167,
K110301,迭代解法,递推方程与生成函数/11.3 递推方程的其他解法,pl_03_08,归谬法,0.25,
K110302,主定理与分治递推,递推方程与生成函数/11.3 递推方程的其他解法,pl_03,范式与推理规则,0.319,
K110401,生成函数,递推方程与生成函数/11.4 生成函数及其应用,gt_04_04,生成树,0.433,
K110402,用生成函数求解递推方程,递推方程与生成函数/11.4 生成函数及其应用,fl_02_06,证明奇数的平方也是奇数,0.182,
K110501,指数生成函数,递推方程与生成函数/11.5 指数生成函数及其应用,gt_04_04,生成树,0.353,
K110601,卡塔兰数,递推方程与生成函数/11.6 卡塔兰数与斯特林数,induction,数学归纳法,0.16,
K110602,斯特林数,递推方程与生成函数/11.6 卡塔兰数与斯特林数,rel_04_02,哈斯图,0.217,
K120101,二元运算,代数系统/12.1 二元运算及其性质,st_02,集合运算,0.41,
K120102,运算的性质,代数系统/12.1 二元运算及其性质,st_02,集合运算,0.335,
K120103,特殊元素,代数系统/12.1 二元运算及其性质,gt_04,特殊图,0.4,
K120201,代数系统与子代数,代数系统/12.2 代数系统,rel_03,等价关系与等价类,0.272,
K120301,同态映射,代数系统/12.3 同态与同构,rel_03_04,模n同余关系是等价关系,0.111,
K120302,同构,代数系统/12.3 同态与同构,rel_03_04,模n同余关系是等价关系,0.111,
K130101,半群与独异点,群与环/13.1 群的定义及性质,st_03_03,幂等律与吸收律,0.167,
K130102,群,群与环/13.1 群的定义及性质,,,0.0,
K130103,群的特例,群与环/13.1 群的定义及性质,fl_02_02,全称例示(UI),0.233,
K130201,子群,群与环/13.2 子群与群的陪集分解,st_01_02,子集A⊆B,0.217,
K130202,陪集与拉格朗日定理,群与环/13.2 子群与群的陪集分解,gt_03_04,欧拉定理,0.327,
K130301,循环群,群与环/13.3 循环群与置换群,gt_03,重要定理,0.004,
K130302,置换群,群与环/13.3 循环群与置换群,st_02,集合运算,0.005,
K130401,环,群与环/13.4 环与域,gt_03,重要定理,0.17,
K130402,域,群与环/13.4 环与域,rel_01_03,定义域dom(R)与值域ran(R),0.85,
K140101,格,格与布尔代数/14.1 格的定义及性质,pl_02_01,真值表,0.17,
K140102,格的实例与性质,格与布尔代数/14.1 格的定义及性质,rel_02,关系五大性质,0.255,
K140201,分配格与有补格,格与布尔代数/14.2 分配格、有补格与布尔代数,st_03_01,分配律,0.333,
K140202,布尔代数,格与布尔代数/14.2 分配格、有补格与布尔代数,induction,数学归纳法,0.16,
K150101,命题,命题逻辑的基本概念/15.1 命题与联结词,pl_01_01,命题,0.97,"命题与联结词(pl_01,0.85); '北京是首都'是真命题；'你好吗？'不是命题(pl_01_03,0.85)"
K150102,联结词,命题逻辑的基本概念/15.1 命题与联结词,pl_01_02,联结词,0.97,"命题与联结词(pl_01,0.85)"
K150103,命题符号化,命题逻辑的基本概念/15.1 命题与联结词,pl_01_01,命题,0.713,
K150201,命题公式,命题逻辑的基本概念/15.2 命题公式及其赋值,pl_01_01,命题,0.713,"命题逻辑(propositional_logic,0.4)"
K150202,真值表与公式分类,命题逻辑的基本概念/15.2 命题公式及其赋值,pl_02_01,真值表,0.757,"真值表与逻辑等价(pl_02,0.429)"
K150203,赋值与成真赋值,命题逻辑的基本概念/15.2 命题公式及其赋值,pl_02_01,真值表,0.366,
K160101,等值式,命题逻辑等值演算/16.1 等值式,pl_03_06,拒取式,0.307,
K160102,等值演算,命题逻辑等值演算/16.1 等值式,pl_02_03,蕴含等价,0.233,
K160201,范式,命题逻辑等值演算/16.2 析取范式与合取范式,pl_03,范式与推理规则,0.85,"析取范式(DNF)(pl_03_02,0.85); 合取范式(CNF)(pl_03_03,0.85)"
K160202,主范式,命题逻辑等值演算/16.2 析取范式与合取范式,pl_03_02,析取范式(DNF),0.45,"合取范式(CNF)(pl_03_03,0.45)"
K160301,联结词完备集,命题逻辑等值演算/16.3 联结词的完备集,pl_01_02,联结词,0.73,"命题与联结词(pl_01,0.413)"
K160401,SAT 问题,命题逻辑等值演算/16.4 可满足性问题与消解法,st_02_04,对称差A⊕B=(A-B)∪(B-A),0.2,
K160402,消解法,命题逻辑等值演算/16.4 可满足性问题与消解法,pl_03_08,归谬法,0.317,
K170101,推理的形式结构,命题逻辑的推理理论/17.1 推理的形式结构,pl_03,范式与推理规则,0.361,
K170201,推理规则,命题逻辑的推理理论/17.2 自然推理系统,pl_03,范式与推理规则,0.695,"假言推理(pl_03_05,0.467); 量词运算与推理(fl_02,0.399)"
K170202,证明方法,命题逻辑的推理理论/17.2 自然推理系统,mi_03_05,证明|P(A)|=2ⁿ（幂集基数）,0.5,"证明1+2+...+n=n(n+1)/2(mi_03_01,0.4); 证明1+3+...+(2n-1)=n²(mi_03_02,0.4)"
K170301,消解证明法,命题逻辑的推理理论/17.3 消解证明法,mi_03_01,证明1+2+...+n=n(n+1)/2,0.4,"证明1+3+...+(2n-1)=n²(mi_03_02,0.4); 证明|P(A)|=2ⁿ（幂集基数）(mi_03_05,0.4)"
K180101,个体词与谓词,一阶逻辑基本概念/18.1 一阶逻辑命题符号化,fl_01,谓词与量词,0.492,"谓词P(x)(fl_01_01,0.373)"
K180102,量词,一阶逻辑基本概念/18.1 一阶逻辑命题符号化,fl_01,谓词与量词,0.85,"全称量词∀xP(x)(fl_01_02,0.85); 存在量词∃xP(x)(fl_01_03,0.85)"
K180103,一阶逻辑命题符号化,一阶逻辑基本概念/18.1 一阶逻辑命题符号化,pl_01_01,命题,0.713,"命题逻辑(propositional_logic,0.356)"
K180201,一阶逻辑公式,一阶逻辑基本概念/18.2 一阶逻辑公式及其解释,pl_02_04,逻辑等价(P≡Q),0.297,
K180202,解释,一阶逻辑基本概念/18.2 一阶逻辑公式及其解释,mi_01,普通归纳法,0.17,
K190101,一阶逻辑等值式,一阶逻辑等值演算与推理/19.1 一阶逻辑等值式与置换规则,pl_02,真值表与逻辑等价,0.424,"逻辑等价(P≡Q)(pl_02_04,0.404)"
K190201,前束范式,一阶逻辑等值演算与推理/19.2 一阶逻辑前束范式,pl_03_02,析取范式(DNF),0.45,"合取范式(CNF)(pl_03_03,0.45)"
K190301,一阶逻辑推理规则,一阶逻辑等值演算与推理/19.3 一阶逻辑的推理理论,pl_03,范式与推理规则,0.415,
K190302,证明方法,一阶逻辑等值演算与推理/19.3 一阶逻辑的推理理论,mi_03_05,证明|P(A)|=2ⁿ（幂集基数）,0.5,"证明1+2+...+n=n(n+1)/2(mi_03_01,0.4); 证明1+3+...+(2n-1)=n²(mi_03_02,0.4)"
K190401,一阶逻辑综合应用,一阶逻辑等值演算与推理/19.4 一个电话系统的描述实例,pl_02_04,逻辑等价(P≡Q),0.231,
